#FILE	NUM_FOUND	ARR-3_4	ARR-8_1	CmlA7_1	CmlA9_1	FloR_4	FloR_9	OqxA_1	OqxB_1	TOprJ3_1	aac(3)-IIa_1	aac(3)-IId_1	aac(3)-Ia_1	aac(3)-VIa_2	aac(6')-31_1	aac(6')-IIa_1	aac(6')-IIc_1	aac(6')-Ib-Hangzhou_1	aac(6')-Ib-cr_1	aac(6')-Ib_1	aac(6')-Ii_1	aac(6')-Il_1	aac(6')-Im_1	aac(6')-Ir_1	aac(6')-aph(2'')_1	aadA10_1	aadA10_2	aadA11_1	aadA11_2	aadA13_1	aadA14_1	aadA16_1	aadA17_1	aadA1_2	aadA1_3	aadA1_5	aadA2_1	aadA5_1	aadA6_1	aadA7_1	aadA8b_1	aadD_1	ampS_1	ant(2'')-Ia_1	ant(2'')-Ia_20	ant(3'')-Ia_1	ant(6)-Ia_1	ant(6)-Ia_2	ant(6)-Ia_3	aph(2'')-Ib_3	aph(3'')-Ib_2	aph(3'')-Ib_5	aph(3')-III_1	aph(3')-Ia_1	aph(3')-Ia_7	aph(3')-VI_1	aph(3')-VIa_1	aph(3')-VIb_1	aph(6)-Id_1	blaACI-1_1	blaACT-4_2	blaADC-25_1	blaAER-1_1	blaBEL-1_1	blaBRO-2_1	blaCARB-8_1	blaCEPH-A3_1	blaCMY-1_1	blaCMY-48_1	blaCMY-65_1	blaCMY-8b_1	blaCTX-M-36_1	blaCTX-M-3_1	blaFOX-1_1	blaFOX-2_1	blaFOX-5_1	blaFOX-9_1	blaGES-11_1	blaGES-14_1	blaGES-1_1	blaGES-20_1	blaGES-2_1	blaGES-5_1	blaIMP-16_1	blaIMP-1_1	blaIMP-28_1	blaIMP-33_1	blaIMP-54_1	blaIMP-5_1	blaKLUC-2_1	blaLCR-1_1	blaMOX-6_1	blaNPS_1	blaOXA-101_1	blaOXA-10_1	blaOXA-1186_1	blaOXA-119_1	blaOXA-129_1	blaOXA-13_1	blaOXA-1_1	blaOXA-205_1	blaOXA-209_1	blaOXA-20_1	blaOXA-20_2	blaOXA-211_1	blaOXA-212_1	blaOXA-21_1	blaOXA-224_1	blaOXA-256_1	blaOXA-280_1	blaOXA-281_1	blaOXA-296_1	blaOXA-299_1	blaOXA-2_1	blaOXA-333_1	blaOXA-334_1	blaOXA-347_1	blaOXA-372_1	blaOXA-373_1	blaOXA-392_1	blaOXA-3_1	blaOXA-427_1	blaOXA-459_1	blaOXA-464_1	blaOXA-46_1	blaOXA-490_1	blaOXA-491_1	blaOXA-4_1	blaOXA-549_1	blaOXA-58_1	blaOXA-5_1	blaOXA-72_1	blaOXA-9_1	blaPAU-1_1	blaPER-4_1	blaPLA1a_1	blaROB-1_1	blaSCO-1_1	blaSHV-129_1	blaSHV-12_1	blaTEM-104_1	blaTEM-116_1	blaTEM-122_1	blaTEM-141_1	blaTEM-1B_1	blaTER-2_1	blaTLA-1_1	blaVEB-1_1	blaVEB-1_3	blaVEB-3_1	cat(pC194)_1	catB2_1	catB3_2	catB8_1	catP_1	catQ_1	catS_1	cat_2	cepA_6	cfr(C)_2	cfxA3_1	cfxA5_1	cfxA6_1	cfxA_1	cmlB1_1	cml_1	cmx_1	cphA1_3	cphA4_1	dfrA10_1	dfrA12_4	dfrA12_8	dfrA14_5	dfrA15_1	dfrA15_2	dfrA1_10	dfrA1_3	dfrA1_8	dfrA21_1	dfrA27_1	dfrA3_1	dfrA5_1	dfrA6_2	dfrA7_5	dfrB1_1	dfrB4_1	dfrB6_1	dfrD_1	dfrG_1	ere(A)_2	ere(A)_6	ere(B)_1	ere(B)_2	ere(D)_1	erm(47)_1	erm(50)_1	erm(A)_2	erm(B)_1	erm(B)_10	erm(B)_12	erm(B)_15	erm(B)_18	erm(F)_1	erm(F)_3	erm(G)_1	erm(Q)_1	erm(X)_1	erm(X)_2	fosA2_1	fosA_2	fosE_1	lnu(A)_1	lnu(B)_2	lnu(C)_1	lnu(D)_1	lnu(F)_1	lnu(F)_2	lnu(F)_3	lnu(G)_1	lsa(E)_1	mcr-3.17_1	mcr-3.19_1	mcr-3.24_1	mcr-3.33_1	mcr-3.6_1	mcr-9.1_1	mef(A)_1	mef(A)_2	mef(A)_3	mef(A)_4	mef(B)_1	mef(C)_1	mph(A)_1	mph(A)_2	mph(E)_1	mph(F)_1	mph(G)_1	mph(N)_1	msr(D)_2	msr(D)_3	msr(E)_1	nimA_1	nimD_1	qnrB19_1	qnrD1_1	qnrS10_1	qnrS2_1	qnrVC1_1	qnrVC4_1	str_1	sul1_14	sul1_15	sul1_2	sul1_5	sul1_9	sul2_1	sul2_11	sul2_12	sul2_14	sul2_2	sul4_1	tet(32)_1	tet(32)_2	tet(36)_1	tet(39)_1	tet(39)_2	tet(40)_1	tet(40)_2	tet(44)_1	tet(44)_2	tet(A)_3	tet(A)_4	tet(A)_6	tet(B)_1	tet(C)_2	tet(C)_3	tet(E)_2	tet(E)_3	tet(G)_1	tet(G)_2	tet(M)_1	tet(M)_12	tet(M)_4	tet(M)_5	tet(M)_7	tet(M)_8	tet(O)_1	tet(O)_2	tet(O)_3	tet(O/W)_4	tet(Q)_1	tet(Q)_3	tet(S)_3	tet(W)_1	tet(W)_3	tet(W)_4	tet(W)_5	tet(X)_1	tet(X)_2	tetA(P)_3	tetB(P)_1	tmexC2_1	tmexC3_1	tmexD2_1	tmexD3_1
/home/user/ww_amr_batch/amr_results/SRR21621043_resfinder.tsv	5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	96.50	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	66.10	.	.	.	.	.	60.98	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	63.24	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR21621044_resfinder.tsv	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR21621045_resfinder.tsv	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	63.10	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR21621046_resfinder.tsv	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR21621047_resfinder.tsv	22	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	66.19	87.25	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.88	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	70.04	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	61.35	.	.	.	.	.	.	.	.	.	92.26	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	98.63	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	77.06	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	63.14	.	.	.	.	.	.	.	.	.	.	.	65.52	.	.	98.60	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR21621048_resfinder.tsv	22	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	67.14	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	83.54	.	.	.	.	99.88	.	.	.	.	.	.	.	67.26	.	.	.	.	75.12	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	91.09	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	70.29	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	98.82	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	64.63	.	.	.	100.00	.	.	.	.	.	63.32	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	99.29	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	92.73	.	.	.	.	.	.	.	70.35	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR27639468_resfinder.tsv	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	86.55	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR27639469_resfinder.tsv	8	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	67.80	.	.	.	.	.	.	.	.	.	78.98	.	.	.	.	.	.	.	72.88	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	84.22	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	61.31	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR27639470_resfinder.tsv	12	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	99.28	.	.	.	.	99.88	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	76.92	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	98.82	.	.	.	95.31	.	.	.	.	.	.	.	.	.	.	.	.	.	71.78	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	74.12	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR27639475_resfinder.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR27639476_resfinder.tsv	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	76.69	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	67.01	.	.	.	.	.	73.31	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR27639477_resfinder.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR29142450_resfinder.tsv	77	.	.	87.90	.	.	97.70	.	.	66.18	.	76.31	85.77	.	.	94.05	85.40	.	.	.	.	.	.	.	.	96.64	.	95.27	.	.	.	68.20	.	.	.	.	98.29	100.00	.	100.00	.	.	60.88	100.00	.	82.92	.	.	66.67	.	99.88	.	100.00	100.00	.	.	.	.	100.00	.	.	.	100.00;61.09	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	100.00	.	88.00	.	.	.	.	.	.	.	77.54	.	.	.	100.00	.	.	61.58	.	.	.	.	100.00	.	.	70.79	94.88	.	.	.	92.17	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	98.20	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	100.00	.	96.59	100.00	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	64.93	100.00	.	90.63	.	.	.	.	.	.	.	.	.	.	84.56	.	67.49	100.00	.	100.00	.	100.00	100.00	100.00	67.68;100.00	.	.	70.22;99.25	100.00	.	.	.	.	.	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	66.05	.	.	60.07	.	.	.	.	100.00	84.19	.	.	.	.	.	97.80	.	.	100.00	.	85.96	.	.	.	.	.	.	.	.	100.00	.	.	.	79.34	.	.	.	.	.	100.00	80.55	.	.	.	.	72.42	.	.
/home/user/ww_amr_batch/amr_results/SRR29142451_resfinder.tsv	58	.	.	.	99.92	.	97.70	.	.	.	.	.	.	.	.	.	.	.	85.17	.	.	.	.	.	.	80.46	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	82.92	100.00	.	100.00	.	99.88	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	91.51	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	78.87	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	100.00	.	.	.	85.82	.	77.56	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	62.75	.	.	.	.	.	.	.	98.43	.	.	.	.	.	.	.	.	.	.	100.00	100.00	60.81	88.81	100.00	.	.	77.37	.	.	.	.	.	.	.	.	68.72	92.12	60.65	100.00	.	100.00	100.00	68.89	67.01;100.00	.	.	.	100.00	.	.	100.00	.	.	99.85	100.00	.	.	.	.	.	100.00	.	.	.	66.05	.	.	.	.	.	.	.	100.00	73.22	.	.	.	.	.	97.80	.	.	100.00	.	.	.	71.60	.	.	.	.	.	.	100.00	.	.	.	.	99.85	.	.	.	.	100.00	.	.	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR2938125_resfinder.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	77.85	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/home/user/ww_amr_batch/amr_results/SRR2938126_resfinder.tsv	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	77.28	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
